2021-03-16 11:23:04 DEBUG request log not activated
2021-03-16 11:23:04 DEBUG response log not activated
2021-03-16 11:23:04 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-16 11:23:04 DEBUG Reading projects...
2021-03-16 11:23:04 DEBUG   project - nonprod-project
2021-03-16 11:23:04 DEBUG Processing file: nonprod-project/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-16 11:23:04 DEBUG Processing file: nonprod-project/management-zone/management-zone.yaml
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftcivilunspecstg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaycaseworkerjurisdictionsrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/idamspringboothealthrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercasesbyidrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprofessionalreferencedataeperf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayvalidatefinremcontestedrequestcountsu
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdstarteventforcaseworkerrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfamilypubliclawperf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftbulkscanperf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/idamhealthrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/dmstoregetbinaryrequestcountsuccess
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftpcqperf
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftpcqstg
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/amdeleteroleassignmentbyidrequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaybenefitcasesrequestcountfail
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/ccduserprofilerequestcount
2021-03-16 11:23:04 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftsscsstg
