2021-03-16 11:00:33 DEBUG request log not activated
2021-03-16 11:00:33 DEBUG response log not activated
2021-03-16 11:00:33 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-16 11:00:33 DEBUG Reading projects...
2021-03-16 11:00:33 DEBUG   project - nonprod-project
2021-03-16 11:00:33 DEBUG Processing file: nonprod-project/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftxuiperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftidamperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasedefdivorcerequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcserviceidamhealthlivenessrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercreatecaserequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaycaseactivitybyidrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftsscsstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprofessionalreferencedataeperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftpcqstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftimmigrationandasylumstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfinancialremedyperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfeespaymentsperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftelasticsearchperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdsearchcasesforcitizensrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/amdeleteroleassignmentbyidrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/rpegetletterstatusrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/fplhandlesubmittedeventrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercreateeventrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idamspringboothealthrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdseachcasesrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-dtscvpperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-crimeidamnft
