2021-03-31 21:41:37 DEBUG request log not activated
2021-03-31 21:41:37 DEBUG response log not activated
2021-03-31 21:41:37 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-31 21:41:37 DEBUG Reading projects...
2021-03-31 21:41:37 DEBUG   project - apimgmt
2021-03-31 21:41:37 DEBUG   project - config/.logs
2021-03-31 21:41:37 DEBUG   project - config/nonprod
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/management-zone/management-zone.yaml
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftbulkscanstg has dep on config/nonprod/management-zone/CFT-BulkScan-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftbulkscanstg has dep on config/nonprod/management-zone/CFT-BulkScan-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftpcqstg has dep on config/nonprod/management-zone/CFT-PCQ-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftpcqstg has dep on config/nonprod/management-zone/CFT-PCQ-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftelasticsearchperf has dep on config/nonprod/management-zone/CFT-Elasticsearch-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftelasticsearchperf has dep on config/nonprod/management-zone/CFT-Elasticsearch-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftldata has dep on config/nonprod/management-zone/CFT-LDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftldata has dep on config/nonprod/management-zone/CFT-LDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftpcqperf has dep on config/nonprod/management-zone/CFT-PCQ-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftpcqperf has dep on config/nonprod/management-zone/CFT-PCQ-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftprobateperf has dep on config/nonprod/management-zone/CFT-Probate-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftprobateperf has dep on config/nonprod/management-zone/CFT-Probate-Perf
